"doc_key","index","url"
"news·20050502·LE·80766",0,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050502%C2%B7LE%C2%B780766&docIndex=0"
"news·20050502·LE·80764",1,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050502%C2%B7LE%C2%B780764&docIndex=1"
"news·20050429·LI·0li20050429026",2,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050429%C2%B7LI%C2%B70li20050429026&docIndex=2"
"news·20050425·LE·80176",3,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050425%C2%B7LE%C2%B780176&docIndex=3"
"news·20050422·LI·0li20050422094",4,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050422%C2%B7LI%C2%B70li20050422094&docIndex=4"
"news·20050422·LI·0li20050422092",5,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050422%C2%B7LI%C2%B70li20050422092&docIndex=5"
"news·20050419·LM·0q1904_1053660",6,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050419%C2%B7LM%C2%B70q1904_1053660&docIndex=6"
"news·20050411·LE·79056",7,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050411%C2%B7LE%C2%B779056&docIndex=7"
"news·20050407·LF·20050407×2fig0074",8,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050407%C2%B7LF%C2%B720050407%C3%972fig0074&docIndex=8"
"news·20050404·LE·78507",9,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050404%C2%B7LE%C2%B778507&docIndex=9"
"news·20050401·LI·0li20050401028",10,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050401%C2%B7LI%C2%B70li20050401028&docIndex=10"
"news·20050329·LI·0li20050329037",11,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050329%C2%B7LI%C2%B70li20050329037&docIndex=11"
"news·20050325·LI·0li20050325026",12,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050325%C2%B7LI%C2%B70li20050325026&docIndex=12"
"news·20050322·LM·0q2203_1036616",13,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050322%C2%B7LM%C2%B70q2203_1036616&docIndex=13"
"news·20050319·LI·0li20050319158",14,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050319%C2%B7LI%C2%B70li20050319158&docIndex=14"
"news·20050319·LI·0li20050319080",15,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050319%C2%B7LI%C2%B70li20050319080&docIndex=15"
"news·20050315·LM·0q1503_1031465",16,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050315%C2%B7LM%C2%B70q1503_1031465&docIndex=16"
"news·20050314·LS·0083",17,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050314%C2%B7LS%C2%B70083&docIndex=17"
"news·20050314·LE·76921",18,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050314%C2%B7LE%C2%B776921&docIndex=18"
"news·20050311·LA·0098",19,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050311%C2%B7LA%C2%B70098&docIndex=19"
"news·20050308·LI·0li20050308038",20,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050308%C2%B7LI%C2%B70li20050308038&docIndex=20"
"news·20050308·LF·20050308×2fig0030",21,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050308%C2%B7LF%C2%B720050308%C3%972fig0030&docIndex=21"
"news·20050307·LE·76367",22,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050307%C2%B7LE%C2%B776367&docIndex=22"
"news·20050307·LI·0li20050307011",23,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050307%C2%B7LI%C2%B70li20050307011&docIndex=23"
"news·20050304·LI·0li20050304013",24,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050304%C2%B7LI%C2%B70li20050304013&docIndex=24"
"news·20050228·LF·20050228×2fig0208",25,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050228%C2%B7LF%C2%B720050228%C3%972fig0208&docIndex=25"
"news·20050221·LT·0064",26,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050221%C2%B7LT%C2%B70064&docIndex=26"
"news·20050219·LM·0q1902_1017950",27,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050219%C2%B7LM%C2%B70q1902_1017950&docIndex=27"
"news·20050219·LI·0li20050219066",28,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050219%C2%B7LI%C2%B70li20050219066&docIndex=28"
"news·20050218·LM·0q1802_1016449",29,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050218%C2%B7LM%C2%B70q1802_1016449&docIndex=29"
"news·20050218·LM·0liv1802_1013494",30,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050218%C2%B7LM%C2%B70liv1802_1013494&docIndex=30"
"news·20050214·LE·74786",31,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050214%C2%B7LE%C2%B774786&docIndex=31"
"news·20050210·LS·0026",32,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050210%C2%B7LS%C2%B70026&docIndex=32"
"news·20050210·LF·20050210×2fig0163",33,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050210%C2%B7LF%C2%B720050210%C3%972fig0163&docIndex=33"
"news·20050209·LM·0q0902_1008215",34,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050209%C2%B7LM%C2%B70q0902_1008215&docIndex=34"
"news·20050208·LI·0li20050208094",35,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050208%C2%B7LI%C2%B70li20050208094&docIndex=35"
"news·20050206·LI·020060905025",36,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050206%C2%B7LI%C2%B7020060905025&docIndex=36"
"news·20050204·LS·0059",37,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050204%C2%B7LS%C2%B70059&docIndex=37"
"news·20050204·LM·0liv0402_1003685",38,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050204%C2%B7LM%C2%B70liv0402_1003685&docIndex=38"
"news·20050204·LI·0li20050204084",39,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050204%C2%B7LI%C2%B70li20050204084&docIndex=39"
"news·20050201·LI·0li20050201068",40,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050201%C2%B7LI%C2%B70li20050201068&docIndex=40"
"news·20050131·LS·0086",41,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050131%C2%B7LS%C2%B70086&docIndex=41"
"news·20050131·LI·0li20050131071",42,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720050131%C2%B7LI%C2%B70li20050131071&docIndex=42"
