doc_key,index,url
news·20250210·LM·202502102×20×22765337326×215,26,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250210%C2%B7LM%C2%B7202502102%C3%9720%C3%9722765337326%C3%97215&docIndex=26
news·20250210·LI·202502100895924419,27,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250210%C2%B7LI%C2%B7202502100895924419&docIndex=27
news·20250210·LI·202502100895992464,28,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250210%C2%B7LI%C2%B7202502100895992464&docIndex=28
news·20250207·LF·1102×20×2946829,29,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250207%C2%B7LF%C2%B71102%C3%9720%C3%972946829&docIndex=29
news·20250205·LF·1092×20×21577148441,30,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250205%C2%B7LF%C2%B71092%C3%9720%C3%9721577148441&docIndex=30
news·20250205·LF·1092×20×21581749672,31,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250205%C2%B7LF%C2%B71092%C3%9720%C3%9721581749672&docIndex=31
news·20250205·LM·202502052×20×22730324351,32,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250205%C2%B7LM%C2%B7202502052%C3%9720%C3%9722730324351&docIndex=32
news·20250205·LM·202502052×20×22747281635×215,33,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250205%C2%B7LM%C2%B7202502052%C3%9720%C3%9722747281635%C3%97215&docIndex=33
news·20250203·LF·1092×20×21550515918,34,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250203%C2%B7LF%C2%B71092%C3%9720%C3%9721550515918&docIndex=34
news·20250201·OP·39dd7800-e06c-11ef-ab38-2958c2f5f877,35,https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720250201%C2%B7OP%C2%B739dd7800-e06c-11ef-ab38-2958c2f5f877&docIndex=35
